Année,pib_hbt
1960,1 481
1961,1 569
1962,1 529
1963,1 684
1964,1 905
1965,1 775
1966,1 905
1967,1 916
1968,2 074
1969,2 183
1970,2 312
1971,2 424
1972,2 416
1973,2 446
1974,2 439
1975,2 522
1976,2 733
1977,2 825
1978,3 017
1979,2 975
1980,2 551
1981,2 543
1982,2 455
1983,2 275
1984,2 135
1985,2 154
1986,2 150
1987,2 072
1988,2 023
1989,2 006
1990,1 910
1991,1 840
1992,1 768
1993,1 701
1994,1 655
1995,1 711
1996,1 780
1997,1 885
1998,1 900
1999,1 865
2000,1 810
2001,1 725
2002,1 636
2003,1 522
2004,1 534
2005,1 515
2006,1 523
2007,1 507
2008,1 546
2009,1 568
2010,1 640
2011,1 520
2012,1 603
2013,1 739
2014,1 859
2015,1 942
2016,2 028
2017,2 123
2018,2 169
2019,2 257
2020,2 216
2021,2 315
2022,2 400
2023,2 493
