annÃÂ©e,pib_courant,pib_hbt,iphc,va_agri,va_indus,va_serv
1960,5492745890,1481,5559,47908,13139,38953
1961,6038315905,1569,6205,46407,13879,39714
1962,6112405708,1529,6121,45904,13982,40114
1963,6998115047,1684,6179,44167,14700,41133
1964,8230699197,1905,6217,39801,16064,44135
1965,7974752908,1775,6380,39618,15927,44454
1966,8898018736,1905,6647,37440,17886,44674
1967,9307163144,1916,6799,34760,18881,46359
1968,10475049116,2074,7163,35561,16299,48140
1969,11474286968,2183,7482,33569,15428,51003
1970,12664747894,2312,8096,31867,18494,49640
1971,13862407214,2424,8060,30880,19693,49427
1972,14449705425,2416,8085,29800,19738,50461
1973,15307901973,2446,8983,31050,17743,51207
1974,15970333193,2439,10542,25467,16089,58444
1975,17288346644,2522,11748,28244,17040,54715
1976,19521378207,2733,13167,24479,16364,59156
1977,20949261442,2825,16778,24266,15157,60577
1978,23234711410,3017,19000,25881,16480,57640
1979,23791045073,2975,22105,26402,17060,56538
1980,21184094378,2551,25354,25880,19740,54379
1981,21925643371,2543,27585,26534,18588,54878
1982,21969674962,2455,29677,24125,21288,54587
1983,21112804815,2275,31351,21882,21481,56637
1984,20542492760,2135,32695,24134,19548,56317
1985,21467156206,2154,33304,26538,19746,53716
1986,22166845697,2150,36529,28462,21282,50256
1987,22089489410,2072,39065,29182,22365,48453
1988,22340532915,2023,41772,32039,22651,45310
1989,22999132930,2006,42211,32716,21784,45500
1990,22747083497,1910,41871,32498,26267,41234
1991,22756392780,1840,42576,33294,24598,42108
1992,22700739607,1768,44377,34010,24442,41548
1993,22657044066,1701,45338,28215,22754,49031
1994,22840839521,1655,57163,25264,21040,53697
1995,24468419439,1711,65334,24728,20768,54504
1996,26359663692,1780,66955,16527,13716,36932
1997,28903065479,1885,69647,15146,15361,34444
1998,30135465006,1900,72859,15542,14642,34099
1999,30487103687,1865,73370,15218,14367,36000
2000,30406072178,1810,75227,16195,13937,34677
2001,29751121586,1725,78508,17277,14179,35183
2002,28938759334,1636,80924,18737,14501,35472
2003,27571152176,1522,83592,20776,15212,36199
2004,28449303912,1534,84811,16640,15526,38373
2005,28732677632,1515,88106,16065,16224,38817
2006,29541668753,1523,90280,15945,16584,37945
2007,29867049486,1507,91988,15579,16483,38767
2008,31295490701,1546,97791,16185,17409,37780
2009,32423167867,1568,98788,15250,18016,38665
2010,34643522419,1640,100000,17489,15977,37832
2011,32783010325,1520,104912,18487,16762,34013
2012,35281210701,1603,106281,16375,17732,39687
2013,39077544168,1739,109024,15343,18980,38813
2014,42739891584,1859,109513,15242,19846,37315
2015,45815005169,1942,110884,18362,20122,54133
2016,49101205369,2028,111686,17435,20821,54494
2017,52739979047,2123,112452,16941,19809,55750
2018,55294253264,2169,112856,17853,19112,55619
2019,59010785541,2257,111607,15688,21642,54997
2020,59423700881,2216,114313,16933,20702,55573
2021,63620992438,2315,118991,16181,22103,54100
2022,67576850897,2400,125269,15784,23627,53731
2023,71993628609,2493,130765,14372,24453,54253
