Domaine,Titre du Poste,Nom de l'Entreprise,Lieu,Compétences
https://www.google.com/about/careers/applications/jobs/results/?hl=fr-CA,"Consultant en IA conversationnelle, Services professionnels Google Cloud",Google,"Austin, TX, USA / ; Montreal, QC, Canada / ; +5 autres / ; +4 autres","Baccalauréat en informatique ou expérience pratique équivalente / Sept ans d'expérience dans le domaine de la linguistique informatique ou du développement de logiciels / Expérience de la création d'agents conversationnels ou vocaux / Expérience de travail avec des clients, des cadres et des responsables techniques / Capacité à voyager 30 % du temps, selon les besoins, pour des missions auprès des clients"
https://www.google.com/about/careers/applications/jobs/results/?hl=fr-CA,"Étudiant-chercheur, doctorat, hiver/été 2025",Google,"Waterloo, ON, Canada / ; Montreal, QC, Canada / ; +2 autres / ; +1 autres","Inscription à un programme de doctorat en informatique, en linguistique, en statistique, en biostatistique, en mathématiques appliquées, en recherche opérationnelle, en économie ou en sciences naturelles, ou dans un domaine technique connexe / Expérience de travail dans l'un des domaines de l'informatique (p. ex. compréhension du langage naturel, interactions humain-machine, vision par ordinateur, apprentissage automatique, apprentissage profond, fondements algorithmiques de l'optimisation, science de l'information quantique, science des données, génie logiciel ou domaines similaires)"
https://www.google.com/about/careers/applications/jobs/results/?hl=fr-CA,"Stagiaire en recherche, doctorat, été 2025",Stagiaire et apprenti,"Waterloo, ON, Canada / ; Montreal, QC, Canada / ; +2 autres / ; +1 autres","Inscription à un programme de doctorat en informatique, en linguistique, en statistique, en biostatistique, en mathématiques appliquées, en recherche opérationnelle, en économie ou en sciences naturelles, ou dans un domaine technique connexe / Expérience de travail dans l'un des domaines de l'informatique (p. ex. compréhension du langage naturel, vision par ordinateur, apprentissage automatique, apprentissage profond, fondements algorithmiques de l'optimisation, science de l'informatique quantique, science des données, développement logiciel ou autres domaines connexes)"
https://www.google.com/about/careers/applications/jobs/results/?hl=fr-CA,"Développeur logiciel stagiaire, doctorat, été 2025",Google,"Waterloo, ON, Canada / ; Toronto, ON, Canada / ; +2 autres / ; +1 autres","Poursuite d'un programme de doctorat axé sur des sujets liés au développement logiciel ou à d'autres champs techniques connexes / Expérience en développement logiciel et en codage dans au moins un de ces langages de programmation : C, C++, Java ou Python / Expérience avec les algorithmes ou les structures de données acquise en cadre scolaire, professionnel ou autre"
https://www.google.com/about/careers/applications/jobs/results/?hl=fr-CA,"Spécialiste de la mise en marché, Bases de données, Google Cloud",Stagiaire et apprenti,"Austin, TX, USA / ; Montreal, QC, Canada / ; +6 autres / ; +5 autres",Baccalauréat ou expérience pratique équivalente / Dix ans d'expérience à un poste de vente dans le domaine des logiciels d'entreprise ou de l'infonuagique / Expérience de la vente de technologies de gestion des données / Expérience de la prise en charge des aspects liés aux bases de données dans le cadre de migrations de clients ou d'entreprises
https://www.google.com/about/careers/applications/jobs/results/?hl=fr-CA,"Étudiant-chercheur, baccalauréat ou maîtrise, hiver/été 2025",Google,"Waterloo, ON, Canada / ; Montreal, QC, Canada / ; +2 autres / ; +1 autres","Inscription à un programme de baccalauréat ou de maîtrise en informatique, en linguistique, en statistique, en biostatistique, en mathématiques appliquées, en recherche opérationnelle, en économie, en sciences naturelles ou dans un domaine technique connexe / Expérience de travail dans l'un des domaines de l'informatique (p. ex. compréhension du langage naturel, interactions humain-machine, vision par ordinateur, apprentissage automatique, apprentissage profond, fondements algorithmiques de l'optimisation, science de l'information quantique, science des données, génie logiciel ou domaines similaires)"
https://www.google.com/about/careers/applications/jobs/results/?hl=fr-CA,"Développeur logiciel principal, appareils mobiles, iOS, navigateur Chrome",Stagiaire et apprenti,"Montreal, QC, Canada","Baccalauréat ou expérience pratique équivalente / Cinq ans d'expérience en développement logiciel dans au moins un langage de programmation et d'expérience des structures ou des algorithmes de données / Trois ans d'expérience en mise à l'essai, en maintenance ou en lancement de produits logiciels, et un an d'expérience en conception et en architecture de logiciels / Trois ans d'expérience dans le développement iOS"
Domaine,Titre du Poste,Nom de l'Entreprise,Lieu,Compétences
https://www.google.com/about/careers/applications/jobs/results/?tag=ai-spotlight&hl=en_US,"Senior Technical Program Management Lead, YouTube Infrastructure Resources and Efficiency",Google,"Mountain View, CA, USA / ; San Bruno, CA, USA","Bachelor's degree in Computer Science or equivalent practical experience. / 10 years of experience in program management. / 10 years of experience managing cross-functional or cross-team projects. / 8 years of experience in planning, building, and deploying machine learning infrastructure or distributed systems."
https://www.google.com/about/careers/applications/jobs/results/?tag=ai-spotlight&hl=en_US,"Engineering Manager, Core Machine Learning, Google Cloud",Google,"Sunnyvale, CA, USA","Bachelor’s degree, or equivalent practical experience. / 8 years of experience with software development in C++ programming language. / 5 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning, or natural language processing. / 5 years of experience with design and architecture; and testing/launching software products."
